Dataset ID,Accuracy,Precision,Recall,F1 Score
DatasetOneLoader,0.2775,0.22639747115165437,0.2775,0.1908906280886598
DatasetTwoLoader,0.6355,0.6665210907013959,0.6355,0.591772184283843
DatasetThreeLoader,0.6763033516470334,0.6844117901437162,0.6763033516470334,0.6452946003159419
DatasetFourLoader,0.559973924380704,0.5733337516437872,0.559973924380704,0.5569928397319226
DatasetFiveLoader,0.33038229376257544,0.30663392618734914,0.33038229376257544,0.21493697962669794
DatasetSixLoader,0.44,0.472120950102529,0.44,0.3456784844949107
DatasetSevenLoader,0.722567287784679,0.7312764148788735,0.722567287784679,0.6879933416156011
DatasetEightLoader,0.7575757575757576,0.7591024756483152,0.7575757575757576,0.7567036829697734
