Dataset ID,Accuracy,Precision,Recall,F1 Score
DatasetOneLoader,0.558375,0.5574754620861517,0.558375,0.5097868383360982
DatasetTwoLoader,0.85175,0.8581057810816904,0.85175,0.8518806830098473
DatasetThreeLoader,0.8602960581559943,0.8632534918072579,0.8602960581559943,0.8605452598409673
DatasetFourLoader,0.8956975228161669,0.8987318389217079,0.8956975228161669,0.8709627273147496
DatasetFiveLoader,0.5348798674399338,0.5357378543381662,0.5348798674399338,0.5154980845076755
DatasetSixLoader,0.692,0.7006327633429565,0.692,0.6816295421174325
DatasetSevenLoader,0.8302277432712215,0.8567062435740341,0.8302277432712215,0.7972873200022718
DatasetEightLoader,0.8421717171717171,0.8684414047263582,0.8421717171717171,0.8016818432182645
